kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
a.1.sm_52.ptx 153 : 16384 81920 0 0 0 0 0 0 0 
a.1.sm_52.ptx 150 : 524288 2539520 0 0 0 0 0 0 0 
a.1.sm_52.ptx 149 : 524288 3145728 0 0 0 0 0 0 0 
a.1.sm_52.ptx 148 : 524288 4718592 0 0 0 0 0 0 0 
a.1.sm_52.ptx 113 : 16384 114432 0 0 0 0 0 0 0 
a.1.sm_52.ptx 52 : 16384 110592 0 0 0 0 0 0 0 
a.1.sm_52.ptx 51 : 16384 113408 0 0 0 0 0 0 0 
a.1.sm_52.ptx 50 : 16384 112640 0 0 0 0 0 0 0 
a.1.sm_52.ptx 48 : 16384 0 0 0 0 0 0 0 0 
a.1.sm_52.ptx 47 : 16384 113024 0 0 0 0 0 0 0 
a.1.sm_52.ptx 46 : 16384 275456 0 0 0 2048 512 0 0 
a.1.sm_52.ptx 45 : 16384 110080 0 0 0 0 0 0 0 
a.1.sm_52.ptx 44 : 16384 162432 0 0 0 0 0 0 0 
a.1.sm_52.ptx 43 : 16384 163456 0 0 0 0 0 0 0 
a.1.sm_52.ptx 42 : 16384 109312 0 0 0 0 0 0 0 
a.1.sm_52.ptx 41 : 16384 158720 0 0 0 0 0 0 0 
a.1.sm_52.ptx 40 : 16384 157056 0 0 0 0 0 0 0 
a.1.sm_52.ptx 114 : 16384 0 0 0 0 0 0 0 0 
a.1.sm_52.ptx 27 : 16384 177536 0 0 0 0 0 0 0 
a.1.sm_52.ptx 145 : 524288 3417312 0 0 0 65536 16384 0 0 
a.1.sm_52.ptx 28 : 16384 192000 0 0 0 0 0 0 0 
a.1.sm_52.ptx 146 : 524288 4718592 0 0 0 0 0 0 0 
a.1.sm_52.ptx 29 : 16384 208384 0 0 0 0 0 0 0 
a.1.sm_52.ptx 147 : 524288 4718592 0 0 0 0 0 0 0 
a.1.sm_52.ptx 30 : 16384 234240 0 0 0 0 0 0 0 
a.1.sm_52.ptx 31 : 16384 106368 0 0 0 0 0 0 0 
a.1.sm_52.ptx 32 : 16384 98176 0 0 0 0 0 0 0 
a.1.sm_52.ptx 33 : 16384 95872 0 0 0 0 0 0 0 
a.1.sm_52.ptx 63 : 16384 113408 0 0 0 0 0 0 0 
a.1.sm_52.ptx 34 : 16384 93440 0 0 0 0 0 0 0 
a.1.sm_52.ptx 64 : 16384 113664 0 0 0 0 0 0 0 
a.1.sm_52.ptx 35 : 16384 171136 0 0 0 0 0 0 0 
a.1.sm_52.ptx 36 : 16384 102400 0 0 0 0 0 0 0 
a.1.sm_52.ptx 37 : 16384 98944 0 0 0 0 0 0 0 
a.1.sm_52.ptx 38 : 16384 103808 0 0 0 0 0 0 0 
a.1.sm_52.ptx 39 : 16384 172928 0 0 0 0 0 0 0 
a.1.sm_52.ptx 116 : 16384 109696 0 0 0 0 0 0 0 
a.1.sm_52.ptx 117 : 16384 176768 0 0 0 0 0 0 0 
a.1.sm_52.ptx 118 : 16384 155904 0 0 0 0 0 0 0 
a.1.sm_52.ptx 119 : 16384 155776 0 0 0 0 0 0 0 
a.1.sm_52.ptx 120 : 16384 176000 0 0 0 0 0 0 0 
a.1.sm_52.ptx 121 : 16384 108928 0 0 0 0 0 0 0 
a.1.sm_52.ptx 124 : 524288 4724992 0 0 0 0 0 0 0 
a.1.sm_52.ptx 125 : 524288 4730784 0 0 0 0 0 0 0 
a.1.sm_52.ptx 126 : 524288 141345056 0 0 0 32768 16384 0 0 
a.1.sm_52.ptx 127 : 524288 142799808 0 0 0 32768 16384 0 0 
a.1.sm_52.ptx 128 : 524288 5242880 0 0 0 0 0 0 0 
a.1.sm_52.ptx 129 : 524288 3484928 0 0 0 65536 16384 0 0 
a.1.sm_52.ptx 130 : 524288 3145728 0 0 0 0 0 0 0 
a.1.sm_52.ptx 131 : 524288 4718592 0 0 0 0 0 0 0 
a.1.sm_52.ptx 132 : 524288 140916864 0 0 0 32768 16384 0 0 
a.1.sm_52.ptx 133 : 524288 142379456 0 0 0 32768 16384 0 0 
a.1.sm_52.ptx 134 : 524288 5242880 0 0 0 0 0 0 0 
a.1.sm_52.ptx 135 : 524288 3407488 0 0 0 65536 16384 0 0 
a.1.sm_52.ptx 136 : 524288 4718592 0 0 0 0 0 0 0 
a.1.sm_52.ptx 137 : 524288 147692672 0 0 0 32768 16384 0 0 
a.1.sm_52.ptx 138 : 524288 149105696 0 0 0 32768 16384 0 0 
a.1.sm_52.ptx 139 : 524288 5242880 0 0 0 0 0 0 0 
a.1.sm_52.ptx 140 : 524288 3355744 0 0 0 65536 16384 0 0 
a.1.sm_52.ptx 141 : 524288 4718592 0 0 0 0 0 0 0 
a.1.sm_52.ptx 142 : 524288 148224384 0 0 0 32768 16384 0 0 
a.1.sm_52.ptx 143 : 524288 149552864 0 0 0 32768 16384 0 0 
a.1.sm_52.ptx 144 : 524288 5242880 0 0 0 0 0 0 0 
