kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
pathfinder.1.sm_52.ptx 163 : 500 4500 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 162 : 500 2768 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 161 : 500 3000 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 159 : 1280 3900 0 0 0 0 0 0 10 
pathfinder.1.sm_52.ptx 158 : 1280 7680 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 157 : 1280 7680 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 154 : 24064 146592 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 153 : 24064 210880 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 152 : 24064 265024 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 151 : 24064 246176 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 147 : 9400 28200 0 376 376 0 0 0 0 
pathfinder.1.sm_52.ptx 146 : 9400 84600 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 145 : 9400 228428 0 376 376 0 0 0 0 
pathfinder.1.sm_52.ptx 144 : 9400 84600 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 150 : 24064 120320 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 143 : 9400 51796 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 142 : 9400 56400 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 140 : 24064 81704 0 0 0 0 0 0 188 
pathfinder.1.sm_52.ptx 139 : 24064 144384 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 137 : 25344 6400 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 136 : 25344 152064 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 132 : 9900 49500 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 131 : 9900 29700 0 396 396 0 0 0 0 
pathfinder.1.sm_52.ptx 130 : 9900 89100 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 129 : 9900 49500 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 128 : 9900 89100 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 127 : 9900 1969492 0 0 0 1437 396 0 0 
pathfinder.1.sm_52.ptx 126 : 9900 89100 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 125 : 9900 89100 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 124 : 9900 178200 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 123 : 9900 237600 0 396 396 0 0 0 0 
pathfinder.1.sm_52.ptx 122 : 9900 178200 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 121 : 9900 242396 0 396 396 0 0 0 0 
pathfinder.1.sm_52.ptx 120 : 9900 89100 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 119 : 9900 59400 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 118 : 9900 59400 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 117 : 9900 95732 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 116 : 9900 62008 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 115 : 9900 89100 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 135 : 25344 126880 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 114 : 9900 59400 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 113 : 9900 240148 0 396 396 0 0 0 0 
pathfinder.1.sm_52.ptx 110 : 9900 51448 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 109 : 25344 78520 0 0 0 0 0 0 198 
pathfinder.1.sm_52.ptx 108 : 25344 132576 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 107 : 25344 154912 0 0 0 0 0 0 0 
pathfinder.1.sm_52.ptx 106 : 25344 152064 0 0 0 0 0 0 0 
